codigo,nombre,estado,tipo,region,comuna,hospital,monto_estimado,moneda,fecha_publicacion,fecha_cierre,fecha_adjudicacion,cantidad_items,date_scraped
1057545-47-LE26,CONTRATACIÓN DE SERVICIOS PARA EL MANTENIMIENTO DE EQUIPOS DE LAVANDERÍA PARA ESTABLECIMIENTOS DEPENDIENTES DEL SERVICIO DE SALUD LOS RÍOS,Cerrada,LE,Región de Los Ríos,Valdivia,SERVICIO DE SALUD LOS RIOS,51360400.0,CLP,2026-05-13,2026-05-27,2026-08-25,1,2026-05-27
1979-16-R126,16.26 “CONVENIO DE SUMINISTRO DE INSTRUMENTAL DENTAL PARA NODO COSTERO: HOSPITAL NVA IMPERIAL.”,Adjudicada,LP,Región de la Araucanía,Nueva Imperial,SERVICIO DE SALUD ARAUCANIA SUR HOSPITAL DE NUEVA IMPERIAL,,CLP,2026-02-04,2026-02-24,2026-05-27,109,2026-05-27
2546-31-LE26,PROP PUBL N33 ADQ INSUMOS MEDICOS MONITORES COMUNI,Cerrada,LE,Región de la Araucanía,Padre Las Casas,I MUNICIPALIDAD DE PADRE LAS CASAS,,CLP,2026-05-11,2026-05-27,2026-06-25,1,2026-05-27
1247197-34-LE26,SERVICIO DE REACTIVOS INSUMOS CONTROLES Y EQUIPOS,Cerrada,LE,Región Metropolitana de Santiago,Conchalí,CORP MUNICIPAL DE CONCHALI DE EDUCACION SALUD Y ATENCION DE MENORES,34498100.0,CLP,2026-05-14,2026-05-27,2026-06-23,1,2026-05-27
2107-89-LE26,ADQUISICIÓN DE INSUMOS MÉDICOS PARA REPOSICIÓN DE STOCK BODEGA CENTRAL,Publicada,LE,Región del Libertador General Bernardo O´Higgins,Santa Cruz,SERVICIO DE SALUD HOSPITAL DE SANTA CRUZ,,CLP,2026-05-27,2026-06-08,2026-07-31,5,2026-05-27
3334-11-LE26,INSUMOS MEDICOS Y ALIMENTO PARA ADULTOS DESAM.,Adjudicada,LE,Región de Los Ríos,La Unión,I MUNICIPALIDAD DE LA UNION,,CLP,2026-05-12,2026-05-19,2026-05-27,54,2026-05-27
3378-36-LR26,SUMINISTRO DE INSUMOS PARA EL DEPARTAMENTO DE INFECCIONES ASOCIADAS A ATENCIÓN EN SALUD IAAS DEL HOSPITAL MILITAR DE SANTIAGO POR UN PERIODO DE 24 MESES,Publicada,LR,Región Metropolitana de Santiago,La Reina,DIVISION LOGISTICA DEL EJERCITO,,CLP,2026-05-27,2026-06-26,2026-10-26,30,2026-05-27
1641-604-LR25,FRS - CASSETTES VITRECTOMIA E INSUMOS CON EQ. ASO,Adjudicada,LR,Región Metropolitana de Santiago,Santiago,SERVICIO DE SALUD OCCIDENTE HOSPITAL SAN JUAN DE DIOS,,CLP,2026-02-03,2026-03-05,2026-05-27,10,2026-05-27
3937-13-L126,ADQUISICIÓN DE INSUMOS Y EQUIPAMIENTO PROGRAMA JUNAEB 2026,Publicada,L1,Región de la Araucanía,Curarrehue,ILUSTRE MUNICIPALIDAD DE CURARREHUE,,CLP,2026-05-27,2026-06-02,2026-06-04,3,2026-05-27
750998-1-LP26,INSUMOS Y MATERIALES DE TOMA DE MUESTRAS,Adjudicada,LP,Región Metropolitana de Santiago,Lo Espejo,I MUNICIPALIDAD DE LO ESPEJO,130900000.0,CLP,2026-02-09,2026-03-09,2026-05-27,3,2026-05-27
886954-59-LP26,CONVENIO SUMINISTRO INSUMOS UROLOGÍA ADULTO EN CONSIGNACIÓN,Adjudicada,LP,Región del Biobío,Concepción,HOSPITAL GUILLERMO GRANT BENAVENTE DE CO,120000000.0,CLP,2026-02-18,2026-03-02,2026-05-27,6,2026-05-27
1057461-25-LE26,ADQUISICIÓN DE SILLAS ERGONOMICAS Y BERGERE PARA HOSPITAL CAUQUENES,Revocada,LE,Región del Maule,Cauquenes,SERVICIO DE SALUD DEL MAULE HOSPITAL DE CAUQUENES,,CLP,2026-04-29,2026-05-13,2026-06-15,6,2026-05-27
1003473-32-LP26,CONTRATO DE SUMINISTRO DE DISPOSITIVOS MÉDICOS PARA SOPORTE VITAL: CATÉTER DE DIÁLISIS AGUDA Y CIRCUITO DE VENTILACIÓN MECÁNICA PARA EL HOSPITAL SAN JUAN DE DIOS DE CURICÓ,Cerrada,LP,Región del Maule,,SERVICIO DE SALUD DEL MAULE HOSPITAL DE CURICO,,CLP,2026-05-12,2026-05-27,2026-09-16,4,2026-05-27
1057544-177-LP26,COMPRA DE REACTIVOS E INSUMOS PARA DETERMINACIONES DE EXÁMENES DE ORINA COMPLETA,Publicada,LP,Región del Biobío,Talcahuano,SERVICIO DE SALUD DE TALCAHUANO HOSPITAL,,CLP,2026-05-27,2026-06-08,2026-06-16,1,2026-05-27
2996-14-LE26,CONVENIO DE MEDICAMENTOS FARMACIA MUNICIPAL,Publicada,LE,Región de Coquimbo,Monte Patria,I MUNICIPALIDAD DE MONTEPATRIA,,CLP,2026-05-27,2026-06-08,2026-06-30,1,2026-05-27
